IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
091131101,ROBBERY,"ROBBERY, BODILY FORCE",Saturday,10/31/2009,20:00,TARAVAL,NONE,FARALLONES ST / CAPITOL AV,-122.459033097812,37.714056268706,"(37.714056268706, -122.459033097812)",9113110103074
091129833,MISSING PERSON,FOUND PERSON,Saturday,10/31/2009,20:00,BAYVIEW,NONE,0 Block of DAKOTA ST,-122.395513264888,37.7536178531447,"(37.7536178531447, -122.395513264888)",9112983375000
096108503,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,10/31/2009,20:00,TARAVAL,NONE,700 Block of ULLOA ST,-122.463924133221,37.7407664508924,"(37.7407664508924, -122.463924133221)",9610850306244
091126914,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,10/31/2009,20:00,BAYVIEW,NONE,2500 Block of SAN BRUNO AV,-122.404407189561,37.7294075591753,"(37.7294075591753, -122.404407189561)",9112691407021
091123857,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Saturday,10/31/2009,20:00,SOUTHERN,NONE,600 Block of NATOMA ST,-122.411118243435,37.7775607137405,"(37.7775607137405, -122.411118243435)",9112385706222
091131101,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Saturday,10/31/2009,20:00,TARAVAL,NONE,FARALLONES ST / CAPITOL AV,-122.459033097812,37.714056268706,"(37.714056268706, -122.459033097812)",9113110104014
091125881,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Saturday,10/31/2009,20:00,NORTHERN,NONE,1600 Block of POST ST,-122.428992673997,37.7857262026184,"(37.7857262026184, -122.428992673997)",9112588105151
091129833,MISSING PERSON,MISSING ADULT,Saturday,10/31/2009,20:00,BAYVIEW,NONE,0 Block of DAKOTA ST,-122.395513264888,37.7536178531447,"(37.7536178531447, -122.395513264888)",9112983374000
091124582,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,10/31/2009,19:45,SOUTHERN,NONE,12TH ST / HOWARD ST,-122.416902807379,37.7717234973754,"(37.7717234973754, -122.416902807379)",9112458207021
091126102,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,10/31/2009,19:45,SOUTHERN,NONE,HAWTHORNE ST / FOLSOM ST,-122.397816589532,37.7846680653938,"(37.7846680653938, -122.397816589532)",9112610207021
096108832,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,10/31/2009,19:45,SOUTHERN,NONE,600 Block of FOLSOM ST,-122.398341686223,37.7841714378594,"(37.7841714378594, -122.398341686223)",9610883206244
091123396,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Saturday,10/31/2009,19:43,BAYVIEW,NONE,3RD ST / GILMAN AV,-122.395622324587,37.7224336236684,"(37.7224336236684, -122.395622324587)",9112339668020
091123302,WEAPON LAWS,POSS OF LOADED FIREARM,Saturday,10/31/2009,19:40,NORTHERN,"ARREST, BOOKED",CHESTNUT ST / SCOTT ST,-122.441178352537,37.8001881690514,"(37.8001881690514, -122.441178352537)",9112330212100
091123302,KIDNAPPING,"KIDNAPPING, ADULT VICTIM",Saturday,10/31/2009,19:40,NORTHERN,"ARREST, BOOKED",CHESTNUT ST / SCOTT ST,-122.441178352537,37.8001881690514,"(37.8001881690514, -122.441178352537)",9112330226141
091123302,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,10/31/2009,19:40,NORTHERN,"ARREST, BOOKED",CHESTNUT ST / SCOTT ST,-122.441178352537,37.8001881690514,"(37.8001881690514, -122.441178352537)",9112330204013
091126522,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,10/31/2009,19:40,INGLESIDE,NONE,200 Block of TALBERT ST,-122.407183080746,37.7088095309172,"(37.7088095309172, -122.407183080746)",9112652207021
091123352,ASSAULT,BATTERY,Saturday,10/31/2009,19:39,TENDERLOIN,NONE,0 Block of TURK ST,-122.409853729941,37.7833862379382,"(37.7833862379382, -122.409853729941)",9112335204134
091129554,SECONDARY CODES,DOMESTIC VIOLENCE,Saturday,10/31/2009,19:30,RICHMOND,NONE,400 Block of 29TH AV,-122.489014769705,37.7808424667262,"(37.7808424667262, -122.489014769705)",9112955415200
