bioguide_id,twitter_id,twitter_username,facebook_id,facebook_username,youtube_id,youtube_username,instagram_id,instagram_username
T000468,122174004,RepDinaTitus,120660834778561,CongresswomanTitus,UC_US4jNqECuMSNrB7yVCbbw,CongresswomanTitus,1110185253,dinatitusnv
T000467,18967498,CongressmanGT,14463006747,CongressmanGT,UCNWX7lbWWvnNdzVMFI9DRiQ,CongressmanGT,,
T000465,242892689,NikiInTheHouse,131079823624873,RepTsongas,UCVyHRbyMpIF3_Xfl4LzumCA,RepTsongas,,
T000464,515822213,SenatorTester,210573031664,senatortester,UCgXAF-CON1coZFMxQkfj0fg,senatorjontester,,
T000463,51228911,RepMikeTurner,9275036647,RepMikeTurner,UC-6Ss-aZ3OPisf9GdVGtN8g,CongressmanTurner,,
T000462,3145255727,TiberiPress,90452932937,RepPatTiberi,UCr9reyLip23im9SVDJ9IGAg,PatTiberi,1213878120,pattiberi
T000461,221162525,SenToomey,189274047751251,senatortoomey,UCDUM4FFU1p-_YuHqmBglyXw,sentoomey,,
T000460,303861808,RepThompson,7109195747,RepMikeThompson,UC6pGbtqHZYZmScFGSz5bbdg,CongressmanMThompson,,
T000250,296361085,SenJohnThune,,,UCRu6lpRfxhkDGUrKDgQNZYQ,johnthune,,
T000238,377534571,MacTXPress,7760165627,repmacthornberry,UCIfCqubtIZnQDwDS8YNmL2A,RepMacThornberry,,
T000193,82453460,BennieGThompson,7259193379,7259193379,UCzt2pBxh0dI24kYrWretXRw,RepBennieThompson,347410575,benniegthompson
S001189,234797704,AustinScottGA08,131177916946914,RepAustinScott,UC5M7eKHKQStktMyjieiHYZQ,RepAustinScott,,
S001188,211901075,RepStutzman,109067049164902,CongressmanMarlinStutzman,UC2B2GD4YKasXj4a9Hmbsylw,repstutzman,,
S001187,211420609,RepSteveStivers,116058275133542,116058275133542,UCfZrE20pIcR-LeFUV7r2Ixw,RepSteveStivers,,RepSteveStivers
S001185,381152398,RepTerriSewell,117758198297225,RepSewell,UCHkEHtfrfUWOFtbUFQTQH7Q,RepSewell,,
S001184,217543151,SenatorTimScott,163207553711385,SenatorTimScott,UCSfAsbG80CNInSKrtpKoL-w,SenatorTimScott,,SenatorTimScott
S001183,229197216,RepDavid,150338151681908,repdavidschweikert,UCVvuNVzkOUp7p_Pzkc6Zuvw,RepDavidSchweikert,181147397,repdavid
S001181,109287731,SenatorShaheen,127503767282103,SenatorShaheen,UCjLZAZMbDrybHyttdEC9LFA,senatorshaheen,,
S001180,20545793,RepSchrader,94978896695,repschrader,UCrWRXVaGJtcImc_kknuDsAw,repkurtschrader,,
S001179,23951197,AaronSchock,70882853544,RepAaronSchock,UCp3CYd4lYy9QZbWTxEY_MoA,repaaronschock,,
S001177,,,153423912663,153423912663,UC-fbzxBSiC98eAE2goaANVQ,CongressmanSablan,,
S001176,1209417007,SteveScalise,50936151681,RepSteveScalise,UCmYveHBVXVBRxl7GiCL-gjw,RepSteveScalise,1210937919,stevescalise
S001175,24913074,RepSpeier,99332606976,JackieSpeier,UCevmyTb0HSO8irVaR2gYyoA,jackiespeierca12,,
S001172,296245061,RepAdrianSmith,,,UCIgn2z-hwxx_aeggnyhv54Q,RepAdrianSmith,,
S001165,2193480787,Rep_Albio_Sires,81058818750,81058818750,UCfdEcWPNGoIxpYoTANF4PBA,RepSiresNJ13,,
